Ime;Višinska_razlika;Zahtevnost;Čas
Debeli rtič;55;lahka označena pot;45 min
Deveti konfin;180;lahka označena pot;1 h 10 min
Deveti konfin;200;lahka označena pot;45 min
Divje jezero;15;lahka označena pot;10 min
Dolina Drage;120;lahka označena pot;50 min
Dolski maj;125;lahka označena pot;1 h
Dolski maj;130;lahka označena pot;1 h
Dom na Goropekah;264;lahka označena pot;40 min
Dom na Goropekah;270;lahka označena pot;50 min
Dom na Sabotinu;550;lahka označena pot;1 h 40 min
Dom na Sabotinu;460;delno zahtevna označena pot;1 h 45 min
Dom na Slivnici;498;lahka označena pot;1 h 30 min
Dom na Slivnici;340;lahka označena pot;1 h 20 min
Dom na Sviščakih;400;lahka označena pot;3 h 15 min
Dom na Travni Gori;300;lahka označena pot;45 min
Dom na Travni Gori;150;lahka označena pot;1 h 10 min
Dom v Iškem Vintgarju;200;lahka označena pot;2 h 30 min
Fajti hrib;200;lahka označena pot;1 h
Fajti hrib;195;lahka neoznačena steza;1 h 10 min
Firstov rep;135;lahka označena pot;1 h 5 min
Firstov rep;365;lahka označena pot;1 h 25 min
Firstov rep;850;lahka označena pot;3 h 25 min
Firstov rep;475;lahka označena pot;2 h
Firstov rep;585;lahka označena pot;2 h 15 min
Frančiškov hrib;320;delno zahtevna označena pot;50 min
Frančiškov hrib;15;lahka označena pot;10 min
Frančiškov hrib;350;lahka označena pot;1 h 15 min
Furlanovo zavetišče pri Abramu;770;zahtevna označena pot;2 h 30 min
Furlanovo zavetišče pri Abramu;800;lahka označena pot;3 h 15 min
Furlanovo zavetišče pri Abramu;770;zelo zahtevna označena pot;2 h 30 min
Furlanovo zavetišče pri Abramu;700;lahka označena pot;2 h 30 min
Furlanovo zavetišče pri Abramu;220;lahka označena pot;2 h 30 min
Furlanovo zavetišče pri Abramu;850;lahka označena pot;3 h
Furlanovo zavetišče pri Abramu;775;lahka označena pot;2 h 45 min
Furlanovo zavetišče pri Abramu;775;lahka označena pot;2 h 45 min
Globočak;285;lahka označena pot;50 min
Globočak;140;lahka označena pot;35 min
Goli hrib;154;lahka označena pot;40 min
Goli hrib;160;lahka označena pot;40 min
Goli vrh (Cemarovnik);205;lahka označena pot;30 min
Golič;650;lahka označena pot;2 h 30 min
Golič;575;lahka označena pot;2 h 30 min
Golič;540;lahka označena pot;2 h 40 min
Golič;525;lahka neoznačena steza;1 h 45 min
Gora (Sveti Lovrenc);419;lahka označena pot;1 h 5 min
Gora (Sveti Lovrenc);390;lahka označena pot;1 h 15 min
Gora (Sveti Lovrenc);420;lahka neoznačena steza;1 h 45 min
Goropeški grič (Pikrej);194;lahka označena pot;30 min
Goteniški Snežnik;800;lahka označena pot;2 h 45 min
Goteniški Snežnik;739;lahka označena pot;2 h 45 min
Gozdarska koča Pri logarnici;200;lahka označena pot;1 h 30 min
Grad Kostel;70;lahka označena pot;15 min
Grad Kostel;195;lahka označena pot;35 min
Grad Lož (Pusti grad);100;lahka označena pot;20 min
Grad Socerb;380;lahka označena pot;1 h 25 min
Grad Socerb;400;lahka označena pot;1 h 15 min
Grad Socerb;50;lahka označena pot;35 min
Grad Socerb;390;lahka označena pot;1 h 30 min
Grad Socerb;95;lahka označena pot;50 min
Grad Socerb;29;lahka označena pot;1 h 20 min
Gradišče (Čepan);240;lahka neoznačena steza;1 h 20 min
Gradiška Tura;543;zelo zahtevna označena pot;1 h 15 min
Gradiška Tura;543;zelo zahtevna označena pot;1 h 40 min
Gradiška Tura;543;zahtevna označena pot;1 h 15 min
Gradiška Tura;689;lahka označena pot;2 h
Gradiška Tura;620;lahka označena pot;2 h
Grčarevec;445;lahka označena pot;2 h
Griček;40;lahka neoznačena steza;10 min
Grmada (Nanos);450;lahka neoznačena steza;1 h 35 min
Grmada (Nanos);634;lahka neoznačena steza;2 h 5 min
Grmada (Nanos);1060;lahka neoznačena steza;3 h 35 min
Grmada (Nanos);909;lahka neoznačena steza;2 h 35 min
Grmada (Nanos);1060;lahka neoznačena steza;3 h 35 min
Grmada (Nanos);984;lahka neoznačena steza;2 h 50 min
Grmada (Nanos);984;lahka neoznačena steza;2 h 50 min
Grmada (Planinska gora);353;lahka neoznačena steza;1 h
Grmada (Planinska gora);430;lahka neoznačena steza;1 h 5 min
Grmada (Planinska gora);420;lahka neoznačena steza;1 h 5 min
Grmada pri Slavniku;470;lahka neoznačena steza;2 h 20 min
Grmada pri Slavniku;550;lahka označena pot, lahka neoznačena steza;1 h 50 min
Gura;115;lahka neoznačena steza;35 min
Hrpeljska gora;257;lahka označena pot;1 h 30 min
Hrpeljska gora;140;lahka neoznačena steza, lahka označena pot;35 min
Hrpeljska gora;290;lahka neoznačena steza, lahka označena pot;1 h 20 min
Iški morost;1;lahka označena pot;30 min
Iški morost;5;lahka označena pot;35 min
Iški morost;1;lahka neoznačena steza;20 min
Iški Vintgar (Vrbica);200;delno zahtevna označena pot;1 h 15 min
Iztokova koča pod Golaki;43;lahka označena pot;5 min
Iztokova koča pod Golaki;180;lahka označena pot;45 min
Iztokova koča pod Golaki;192;lahka označena pot;25 min
Izvir Ljubljanice (Retovje);10;lahka označena pot;20 min
Izvir Nežice;90;lahka označena pot;20 min
Jama Pečinka;85;lahka neoznačena steza;1 h
Jama Vilenica;55;lahka označena pot;1 h
Jampršnik;131;lahka neoznačena steza;1 h
Jampršnik;259;lahka označena pot;1 h
Javornik nad Črnim Vrhom;410;lahka označena pot;1 h
Javornik nad Črnim Vrhom;440;lahka označena pot;1 h 10 min
Javornik nad Črnim Vrhom;650;lahka označena pot;2 h 30 min
Javornik nad Črnim Vrhom;550;lahka označena pot;2 h 30 min
Javornik nad Črnim Vrhom;475;lahka označena pot;2 h 15 min
Javornik nad Črnim Vrhom;370;lahka označena pot;1 h 45 min
Javornik nad Črnim Vrhom;650;lahka označena pot;3 h
Javornik nad Črnim Vrhom;355;lahka označena pot;1 h 30 min
Ježa;209;lahka označena pot;30 min
Ježa;130;lahka označena pot;45 min
Jurjev hrib;91;lahka neoznačena steza;35 min
Kameni zid;531;lahka označena pot;1 h 30 min
Kamno čelo (Mandrija);137;lahka neoznačena steza;25 min
Kavčič;550;lahka označena pot;2 h 30 min
Kavčič;300;lahka neoznačena steza;45 min
Klada;400;lahka označena pot;2 h 50 min
Koča Antona Bavčerja na Čavnu;475;lahka označena pot;1 h 30 min
Koča Antona Bavčerja na Čavnu;222;lahka označena pot;1 h
Koča Antona Bavčerja na Čavnu;1072;lahka označena pot;2 h 30 min
Koča Antona Bavčerja na Čavnu;375;lahka označena pot;1 h 15 min
Koča Antona Bavčerja na Čavnu;1000;lahka označena pot;2 h 30 min
Koča Antona Bavčerja na Čavnu;957;lahka označena pot;2 h 15 min
Koča Antona Bavčerja na Čavnu;915;lahka označena pot;2 h 45 min
Koča na Kamnem griču;140;lahka označena pot;45 min
Koča na Kamnem griču;480;lahka označena pot;1 h 35 min
Koča na Kamnem griču;300;lahka označena pot;1 h 15 min
Koča na Kamnem griču;250;lahka označena pot;50 min
Koča na Kamnem griču;335;lahka označena pot;2 h
Koča na Kamnem griču;215;lahka označena pot;45 min
Koča na Kamnem griču;162;lahka označena pot;25 min
Koča na Kavcu;140;lahka označena pot;45 min
Koča na Kozleku;600;lahka označena pot;1 h 45 min
Koča na Kozleku;250;lahka označena pot;1 h
Koča na Kozleku;572;lahka označena pot;1 h 45 min
Koča na Planini nad Vrhniko;347;lahka označena pot;1 h
Koča na Planini nad Vrhniko;433;lahka označena pot;1 h
Koča na Planini nad Vrhniko;233;lahka označena pot;45 min
Koča na Planini nad Vrhniko;433;lahka označena pot;1 h 5 min
Koča na Planini nad Vrhniko;100;lahka označena pot;45 min
Koča na Planini nad Vrhniko;409;lahka označena pot;1 h 15 min
Koča na Planini nad Vrhniko;409;lahka označena pot;1 h 15 min
Koča na Planini nad Vrhniko;418;lahka označena pot;1 h 10 min
Koča na Planini nad Vrhniko;270;lahka označena pot;1 h 40 min
Koča na Vrhu Svetih Treh Kraljev;200;lahka označena pot;1 h 30 min
Koča na Vrhu Svetih Treh Kraljev;290;lahka označena pot;1 h 20 min
Koča na Vrhu Svetih Treh Kraljev;223;lahka označena pot;1 h 15 min
Koča na Vrhu Svetih Treh Kraljev;115;lahka označena pot;35 min
Koča na Vrhu Svetih Treh Kraljev;142;lahka označena pot;35 min
Koča na Vrhu Svetih Treh Kraljev;290;lahka označena pot;1 h 15 min
Koča na Vrhu Svetih Treh Kraljev;115;lahka označena pot;30 min
Koča na Vrhu Svetih Treh Kraljev;450;lahka označena pot;2 h 20 min
Koča na Vrhu Svetih Treh Kraljev;115;lahka označena pot;35 min
Kojnik;284;lahka označena pot;1 h
Kojnik;440;lahka označena pot;1 h 20 min
Kojnik;284;lahka neoznačena steza;1 h 30 min
Kokoš;290;lahka označena pot;1 h 30 min
Kokoš;260;lahka označena pot;1 h
Kokoš;260;lahka označena pot;50 min
Kokoš;240;lahka označena pot;1 h 30 min
Kokoš;260;lahka označena pot;50 min
Kokoš;230;lahka označena pot;2 h
Kokoš;244;lahka označena pot;40 min
Kokoš;200;lahka označena pot;40 min
Kokoš;240;lahka označena pot;1 h 30 min
Kopitnik;600;lahka označena pot;2 h 30 min
Kopitnik;565;lahka označena pot;1 h 25 min
Kopitnik;715;lahka neoznačena steza;3 h
Kopitnik;870;lahka neoznačena steza, lahka označena pot;2 h 45 min
Korada;712;lahka označena pot;2 h 30 min
Korada;612;lahka označena pot;2 h 30 min
Korada;706;lahka označena pot;3 h
Kovk;541;lahka označena pot;1 h 30 min
Kovk;334;lahka označena pot;1 h
Kovk;705;lahka neoznačena steza;2 h 10 min
Kraguljc;515;lahka označena pot;1 h 25 min
Kraguljc;405;lahka označena pot;1 h 35 min
Kraguljc;585;lahka neoznačena steza;1 h 30 min
Krempa;268;lahka označena pot;50 min
Krim;747;lahka označena pot;2 h 15 min
Krim;785;lahka označena pot;2 h 10 min
Krim;385;lahka označena pot;2 h
Krim;830;lahka označena pot;2 h 30 min
Krim;350;lahka označena pot;1 h 50 min
Krim;204;lahka označena pot;50 min
Krim;760;delno zahtevna označena pot;2 h
Krim;798;lahka označena pot;2 h 10 min
Krim;375;lahka označena pot;1 h 35 min
Krim;740;lahka označena pot;2 h 20 min
Krim;825;lahka označena pot;2 h 20 min
Krim;798;lahka označena pot;2 h 10 min
Krim;792;lahka označena pot;2 h 15 min
Krim;745;lahka označena pot;2 h 10 min
Krim;800;lahka označena pot;2 h 15 min
Krim;525;lahka označena pot;2 h 15 min
Krimšček;550;lahko brezpotje;1 h 40 min
Križna gora;132;lahka označena pot;20 min
Križna gora;295;lahka označena pot;1 h 15 min
Križna gora;220;lahka označena pot;35 min
Križna gora (Hrušica);364;lahka označena pot;1 h 20 min
Križna gora (Hrušica);364;lahka označena pot;1 h
Križna gora (Hrušica);550;lahka označena pot;2 h 20 min
Križna gora nad Colom;335;lahka neoznačena steza;55 min
Križna gora nad Colom;370;lahka neoznačena steza;1 h 10 min
Krog;155;lahka neoznačena steza;50 min
Krog;225;lahka neoznačena steza;1 h 20 min
Krog;415;lahka označena pot, lahko brezpotje;3 h 10 min
Krokar;1050;delno zahtevna označena pot, lahka neoznačena steza;3 h 15 min
Kršičevec;387;lahka označena pot;1 h 30 min
Kršičevec;550;lahka neoznačena steza;2 h 15 min
Kršičevec;450;lahka neoznačena steza;2 h 30 min
Kucelj na Čavnu;877;lahka označena pot;2 h 15 min
Kucelj na Čavnu;475;lahka označena pot;2 h
Kucelj na Čavnu;515;delno zahtevna označena pot;2 h
Kucelj na Čavnu;300;lahka označena pot;1 h 45 min
Kucelj na Čavnu;400;lahka označena pot;1 h 40 min
Kucelj na Čavnu;1170;lahka označena pot;3 h 15 min
Kucelj na Čavnu;1000;lahka označena pot;2 h 45 min
Kucelj na Čavnu;550;lahka označena pot;2 h 15 min
Kucelj na Čavnu;1040;lahka označena pot;2 h 55 min
Kucelj na Čavnu;1050;lahka označena pot;3 h
Kucelj na Čavnu;900;lahka označena pot;3 h
Kucelj na Čavnu;1060;lahka označena pot;3 h
Kuk;365;lahka označena pot;2 h 50 min
Kuk;250;lahka označena pot;1 h 15 min
Kuk;175;lahka označena pot;1 h
Kuk (Kolovrat);510;lahka neoznačena steza;2 h 10 min
Kuk (Kolovrat);128;lahka neoznačena steza;20 min
Kuk (Kolovrat);551;lahka neoznačena steza;1 h 30 min
Kuk nad Paljevim;527;lahka neoznačena steza;1 h 35 min
Kuk nad Paljevim;630;lahka neoznačena steza;2 h 5 min
Kuk nad Paljevim;527;lahka neoznačena steza;1 h 45 min
Kuren (Sveti Miklavž);202;lahka označena pot;35 min
Kurešček;119;lahka označena pot;20 min
Kurešček;225;lahka označena pot;45 min
Kurešček;535;lahka označena pot;1 h 50 min
Kurešček;500;lahka označena pot;1 h 45 min
Kurešček;111;lahka označena pot;15 min
Kuželjska stena;170;lahka označena pot;45 min
Lačna;300;lahka označena pot;1 h 15 min
Lačna;155;lahka označena pot;30 min
Lačna;235;lahka označena pot;45 min
Lačna;160;lahka označena pot;35 min
Lačna;300;lahka označena pot;2 h 10 min
Lačna;490;lahka označena pot;4 h
Lašček;240;lahka označena pot;1 h
Lašček;158;lahka označena pot;2 h
Lašček;158;lahka označena pot;1 h 45 min
Lašček;275;lahka označena pot;1 h 20 min
Laze;348;lahka označena pot, delno zahtevna označena pot;1 h 30 min
Lešenjak;525;lahka označena pot;2 h 45 min
Leskovica (nad Stražiščem);82;lahka neoznačena steza;20 min
Leskovica (nad Stražiščem);155;lahka neoznačena steza;30 min
Lipnik;414;lahka označena pot;1 h 40 min
Ljubljanski vrh;525;lahka neoznačena steza;2 h
Lopar;215;lahka neoznačena steza;2 h 30 min
Loška stena;150;lahka označena pot;1 h 30 min
Loška stena;865;lahka označena pot;3 h 50 min
Loška stena;380;lahka označena pot;1 h 50 min
Loška stena;490;lahka označena pot;2 h 25 min
Loška stena;600;lahka označena pot;2 h 40 min
Lovska koča na Planinski gori;359;lahka neoznačena steza;50 min
Lovska koča na Planinski gori;250;lahka neoznačena steza;1 h
Lovska koča na Planinski gori;421;lahka neoznačena steza;55 min
Lovska koča na Planinski gori;425;lahka neoznačena steza;55 min
Lovska koča Plehanov laz;280;lahka neoznačena steza;1 h 10 min
Lovska koča Trešnja ravan;240;lahka označena pot;1 h 50 min
Lovska koča Urška;178;lahka označena pot;45 min
Lovska koča Vojkovo;475;lahka označena pot;1 h 15 min
Lovska koča Vojkovo;625;lahka označena pot;2 h 15 min
Lovska koča Vojkovo;550;lahka označena pot;1 h 30 min
Lovska koča Vojkovo;550;lahka označena pot;1 h 30 min
Lovska koča Vojkovo;625;lahka označena pot;2 h 15 min
Lovski dom pod Glavico;116;lahka neoznačena steza;45 min
Lovski dom pod Glavico;150;lahka neoznačena steza;45 min
Lovsko zavetišče Kolombar;175;lahka označena pot;55 min
Lovsko zavetišče Kolombar;155;lahka označena pot;40 min
Lovsko zavetišče pod Čavnom;580;lahka neoznačena steza;1 h 50 min
Maj;486;delno zahtevna neoznačena pot;1 h 20 min
Mala gora;315;delno zahtevna označena pot;1 h 30 min
Mala gora;784;lahka označena pot;2 h
Mala gora;749;lahka označena pot;2 h
Mala gora;674;lahka označena pot;2 h 15 min
Mala Plešivica;193;lahka označena pot;35 min
Mala Plešivica;225;lahka neoznačena steza, lahka označena pot;1 h 15 min
Mali Golak;600;lahka označena pot;2 h
Mali Golak;400;lahka označena pot;1 h 25 min
Mali Golak;278;lahka označena pot;45 min
Mali Golak;427;lahka označena pot;1 h 5 min
Mali Golak;350;lahka označena pot;2 h
Mali Javornik (Javorniki);331;lahka označena pot;1 h
Mali Javornik (Javorniki);580;lahka označena pot;1 h 50 min
Mali Modrasovec;285;lahka označena pot, lahka neoznačena steza;1 h 10 min
Mali Modrasovec;1135;lahka označena pot, lahka neoznačena steza;2 h 40 min
Mali Modrasovec;440;lahka označena pot;1 h 25 min
Mali Mošenik;160;lahka neoznačena steza;20 min
Mali Snežnik;269;lahka označena pot;1 h
Mali Snežnik;465;lahka označena pot;1 h 50 min
Mali Snežnik;522;lahka označena pot;1 h 30 min
Mali Snežnik;725;lahka označena pot;3 h 35 min
Mali Trebelnik;470;lahka označena pot;1 h 30 min
Mali Trebelnik;512;lahka označena pot;1 h 45 min
Marezige;310;lahka označena pot;1 h 45 min
Marezige;280;lahka označena pot;1 h
Marija Snežna na Gradišcah;90;lahka neoznačena steza;40 min
Marija Snežna na Gradišcah;60;lahka označena pot;25 min
Marutnik;210;lahka označena pot, lahka neoznačena steza;50 min
Marutnik;215;lahka označena pot, lahka neoznačena steza;55 min
Medvedje Brdo;268;lahka označena pot;1 h 15 min
Medvedje Brdo;230;lahka označena pot;1 h 15 min
Medvedje Brdo;209;lahka neoznačena steza;1 h 10 min
Medvedje Brdo;110;lahka označena pot;45 min
Medvedje Brdo;350;lahka označena pot;3 h 10 min
Medvedje Brdo;355;lahka označena pot;3 h 15 min
Medvižica;350;lahka označena pot;1 h 45 min
Medvižica;375;lahka neoznačena steza, lahka označena pot;1 h 45 min
Mengore;238;lahka neoznačena steza;40 min
Mengore;200;lahka neoznačena steza;30 min
Milanka;165;lahka neoznačena steza;1 h 15 min
Mišnice;50;lahka neoznačena steza;20 min
Mišnice;65;lahka neoznačena steza;20 min
Mokrc;170;lahka označena pot;40 min
Mrzovec;350;lahka označena pot;1 h 30 min
Mrzovec;400;lahka neoznačena steza;2 h 30 min
Mrzovec;570;lahka neoznačena steza;2 h 40 min
Na gradu;225;lahka označena pot;1 h 25 min
Na gradu;175;lahka označena pot;30 min
Nadglavinjak;540;lahka označena pot;2 h 10 min
Nagnoj;380;lahka označena pot;1 h 40 min
Nagnoj;78;lahka označena pot;15 min
Navrše;615;lahka označena pot;1 h 35 min
Navrše;315;lahka označena pot;2 h 15 min
Navrše;75;lahka označena pot;40 min
Novaška gora;615;lahka neoznačena steza;2 h
Obrovnik;240;lahko brezpotje, lahka označena pot;1 h 10 min
Očna;180;lahka označena pot;55 min
Očna;180;lahka označena pot;1 h 20 min
Orlovo gnezdo (Veli Badin);35;lahka označena pot, zahtevna označena pot;1 h
Orlovo gnezdo (Veli Badin);185;lahka označena pot, zahtevna označena pot;2 h 20 min
Ortneški Stari grad;225;lahka označena pot;40 min
Osojnica;245;lahka označena pot;1 h
Osojnica;245;lahka neoznačena steza;45 min
Ostrič;276;lahka označena pot;1 h 5 min
Otliški maj;600;lahka neoznačena steza;1 h 25 min
Otliški maj;250;lahka označena pot;1 h 45 min
Otliški maj;40;lahka označena pot;15 min
Otliško okno;550;lahka označena pot;1 h 20 min
Otliško okno;20;lahka označena pot;25 min
Otliško okno;255;lahka označena pot;2 h
Partizanska bolnica Krvavice;315;lahka označena pot;1 h
Pečna reber;113;lahka označena pot;20 min
Petelinjek;415;delno zahtevna označena pot, lahka neoznačena steza;1 h 20 min
Petelinjek;400;lahka neoznačena steza;1 h 15 min
Petelinjsko jezero;15;lahka označena pot;20 min
Petričev hrib;257;lahka neoznačena steza;40 min
Petričev hrib;450;lahka neoznačena steza;1 h 30 min
Petričev hrib;500;lahka neoznačena steza;1 h 35 min
Petričev hrib;500;lahka neoznačena steza;1 h 35 min
Pirnatova koča na Javorniku;326;lahka označena pot;50 min
Pirnatova koča na Javorniku;356;lahka označena pot;1 h
Pirnatova koča na Javorniku;470;lahka označena pot;2 h 20 min
Pirnatova koča na Javorniku;300;lahka označena pot;1 h 35 min
Pirnatova koča na Javorniku;260;lahka označena pot;1 h 20 min
Pirnatova koča na Javorniku;565;lahka označena pot;2 h 50 min
Planina Jegno;400;lahka označena pot;2 h 30 min
Planinska jama;5;lahka označena pot;5 min
Planinski dom na Kureščku;53;lahka označena pot;10 min
Planinski dom na Kureščku;470;lahka označena pot;1 h 40 min
Planinski dom na Kureščku;485;lahka označena pot;1 h 45 min
Planinski dom pod Ježo;140;lahka označena pot;1 h 5 min
Planinski dom v Novem Svetu;25;lahka označena pot;25 min
Plaz;290;lahka označena pot;40 min
Podrta gora nad Ajdovščino;410;lahka označena pot;1 h 45 min
Podrta gora nad Ajdovščino;520;lahka označena pot;1 h 35 min
Podrta gora nad Ajdovščino;509;lahka neoznačena steza;1 h 20 min
Poldanovec;350;lahka označena pot;1 h 30 min
Poldanovec;450;delno zahtevna označena pot;2 h
Poldanovec;1000;zahtevna označena pot;3 h
Polšakova koča na Zagori;300;lahka neoznačena steza;1 h 45 min
Polšakova koča na Zagori;110;lahka neoznačena steza;1 h
Pomjan;400;lahka označena pot;1 h 45 min
Pomjan;370;lahka označena pot;1 h 30 min
Primož;153;lahka označena pot;25 min
Primož;173;lahka neoznačena steza;40 min
Prižnica;298;lahka neoznačena steza;50 min
Prižnica;310;lahka neoznačena steza;1 h 15 min
Racna gora;556;lahka označena pot;1 h 45 min
Racna gora;232;lahka označena pot;45 min
Rajna peč;50;lahka označena pot;40 min
Rakitna;75;lahka označena pot;1 h
Rakitna;425;lahka označena pot;1 h 45 min
Rakov Škocjan;175;lahka označena pot;2 h 50 min
Rakov Škocjan;100;lahka označena pot;1 h 45 min
Rakov Škocjan;75;lahka označena pot;1 h 10 min
Razgledna točka Široko;580;lahka označena pot;1 h 40 min
Razsušica;283;lahka neoznačena steza, lahka označena pot;1 h 15 min
Renški vrh;350;lahka označena pot;1 h 55 min
Rezinski vrh;770;lahka označena pot;2 h 40 min
Rimska trdnjava (Lanišče);-5;lahka označena pot;1 min
Rotovc;175;lahka označena pot;30 min
Rotovc;120;lahka označena pot;45 min
Rotovc;158;lahka označena pot;55 min
Rotovc;250;lahka neoznačena steza;1 h 15 min
Sabotin;509;lahka označena pot;1 h 30 min
Sabotin;509;delno zahtevna označena pot;2 h
Sabotin;409;lahka označena pot;1 h
Sabotin;409;lahka označena pot;1 h 15 min
Sabotin;473;lahka označena pot;2 h
Sekirica;70;lahka neoznačena steza;20 min
Sekirica;50;lahka neoznačena steza;10 min
Sekulak;488;lahka označena pot;1 h 30 min
Sekulak;565;lahka označena pot;1 h 40 min
Sekulak;840;lahka neoznačena steza;2 h 50 min
Šenčurjev vrh;240;lahka neoznačena steza;1 h 30 min
Šenčurjev vrh;310;lahka označena pot;1 h 50 min
Šilentabor;230;lahka označena pot;1 h 30 min
Šilentabor;290;lahka označena pot;1 h
Šilentabor;330;lahka neoznačena steza;2 h 5 min
Šilentabor;260;lahka neoznačena steza;1 h 50 min
Šilentabor;185;lahka označena pot;35 min
Šilentabor;230;lahka neoznačena steza;1 h 15 min
Sinji vrh;800;lahka označena pot;2 h 15 min
Sinji vrh;230;lahka označena pot;1 h 20 min
Sinji vrh;700;lahka neoznačena steza;1 h 45 min
Sinji vrh;500;lahka označena pot;2 h 55 min
Sinji vrh;600;lahka označena pot;3 h 25 min
Sinji vrh;550;lahka označena pot;3 h 10 min
Sinji vrh;730;lahka označena pot;3 h 10 min
Sinji vrh;565;lahka označena pot;3 h 20 min
Sinji vrh;715;lahka označena pot;3 h
Sinji vrh;735;lahka označena pot;2 h 55 min
Sinji vrh;720;lahka neoznačena steza;2 h 45 min
Škabrijel;324;lahka označena pot;50 min
Škabrijel;243;lahka označena pot;40 min
Škabrijel;345;lahka označena pot;1 h 5 min
Škabrijel;321;lahka označena pot;50 min
Škabrijel;330;lahka označena pot;1 h
Škabrijel;552;lahka označena pot;2 h
Škavnica;500;lahka označena pot;1 h 15 min
Škol;236;lahka označena pot;40 min
Školj sv. Pavla nad Vrtovinom;180;lahka označena pot;35 min
Školj sv. Pavla nad Vrtovinom;305;lahka označena pot;1 h
Školj sv. Pavla nad Vrtovinom;305;lahka neoznačena steza;1 h
Školj sv. Pavla nad Vrtovinom;332;lahka označena pot;1 h 5 min
Skozno;375;lahka označena pot;1 h
Skozno;415;lahka označena pot;2 h
Skrivski izvir;340;lahka označena pot;1 h 30 min
Slap Kotel;25;lahka označena pot;35 min
Slap potoka Struga;42;lahka označena pot;15 min
Slavnik;510;lahka označena pot;1 h 40 min
Slavnik;510;lahka označena pot;1 h 15 min
Slavnik;465;lahka označena pot;1 h 30 min
Slavnik;650;lahka označena pot;3 h 30 min
Slavnik;575;lahka označena pot;2 h
Slavnik;500;lahka neoznačena steza;2 h 30 min
Slavnik;500;lahka neoznačena steza, lahka označena pot;2 h 30 min
Slivnica;534;lahka označena pot;1 h 40 min
Slivnica;514;lahka označena pot;1 h 15 min
Slivnica;494;lahka označena pot;1 h 15 min
Slivnica;474;lahka označena pot;2 h 15 min
Slivnica;350;lahka označena pot;1 h 20 min
Slivnica;535;lahka neoznačena steza;1 h 30 min
Smrekov vrh;162;zelo zahtevna neoznačena steza;2 h
Snežnik;600;lahka označena pot;2 h
Snežnik;336;lahka označena pot;55 min
Snežnik;1050;lahka označena pot;3 h 15 min
Snežnik;425;lahka označena pot;1 h 25 min
Snežnik;450;lahka označena pot;1 h 30 min
Snežnik;580;lahka označena pot;2 h 15 min
Snežnik;525;lahka označena pot;1 h 40 min
Snežnik;640;lahka označena pot;1 h 55 min
Snežnik;560;lahka označena pot;1 h 55 min
Snežnik;840;lahka označena pot;4 h
Sončnica (Reber);447;lahka označena pot;1 h 10 min
Sončnica (Reber);340;lahka označena pot;1 h 20 min
Sončnica (Reber);590;lahka neoznačena steza;1 h 45 min
Soteska Pekel 3. slap;125;delno zahtevna označena pot;25 min
Soteska Pekel 5. slap;220;zahtevna označena pot;1 h 15 min
Soteska Pekel 5. slap;300;lahka označena pot;1 h 30 min
Špičasti vrh;426;lahka označena pot;1 h 15 min
Špičasti vrh;320;lahka neoznačena steza;1 h 30 min
Špičasti vrh;325;lahka označena pot;1 h 30 min
Špiček (Špečk);359;lahka neoznačena steza;55 min
